Name,Chromosome,Region,Identifier,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - Total counts,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - RPKM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - TPM,GD1_S1_R1_001 RNA-Seq un-mapped reads [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - Total counts,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - RPKM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - TPM,GD2_S2_R1_001 RNA-Seq un-mapped reads [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - Total counts,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - RPKM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - TPM,GD3_S3_R1_001 RNA-Seq un-mapped reads [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - Total counts,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - RPKM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - TPM,GD4_S4_R1_001 RNA-Seq un-mapped reads [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - Total counts,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - RPKM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - TPM,GD5_S5_R1_001 RNA-Seq un-mapped reads [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - Total counts,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - RPKM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - TPM,GD6_S6_R1_001 RNA-Seq un-mapped reads [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - Total counts,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - RPKM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - TPM,GD7_S7_R1_001 RNA-Seq un-mapped reads [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - Total counts,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - RPKM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - TPM,GD8_S8_R1_001 RNA-Seq un-mapped reads [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - Total counts,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - RPKM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - TPM,GD9_S9_R1_001 RNA-Seq un-mapped reads [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - Total counts,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - RPKM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - TPM,GD10_S10_R1_001 RNA-Seq un-mapped reads [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - Total counts,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - RPKM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - TPM,GD11_S11_R1_001 RNA-Seq un-mapped reads [GD11_S11_R1_001] (single) sampled (GE) - CPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - Total counts,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - RPKM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - TPM,GD12_S12_R1_001 RNA-Seq un-mapped reads [GD12_S12_R1_001] (single) sampled (GE) - CPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - Total counts,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - RPKM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - TPM,GD13_S13_R1_001 RNA-Seq un-mapped reads [GD13_S13_R1_001] (single) sampled (GE) - CPM
PA14_40700,PA14 ref,complement(3635217..3635714),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380263,21,129.3862924,149.1817142,93.98654681,8,47.32339303,54.02345673,34.46832929,17,83.20690045,92.36493806,58.99145115,16,80.40410137,88.3708544,58.39382105,18,89.85846304,99.86403638,65.6009081,31,135.6772551,146.8976885,104.1000957,26,110.9681187,120.522077,75.1552874,31,130.4996719,143.311798,96.5881393,19,80.17342846,87.72549757,59.57181362,22,95.05620704,103.8876874,69.48694664,15,62.5852834,69.77384272,51.1547323,12,51.07059936,60.26614163,53.16148915,12,51.14908595,58.36025444,46.44351683
PA14_40710,PA14 ref,complement(3635728..3636090),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380262,14,118.3367743,136.441678,62.65769788,10,81.15375251,92.64353116,43.08541161,13,87.29241185,96.90011489,45.11110971,11,75.83568651,83.34978312,40.14575197,7,47.94101655,53.2791599,25.51146426,24,144.1050878,156.0224982,80.59362248,21,122.9608588,133.5473492,60.70234752,28,161.7068715,177.5828412,87.24090002,21,121.5678867,133.0191755,65.84253085,17,100.7695779,110.131876,53.69445876,16,91.58485549,102.104312,54.56504779,20,116.7729958,137.7986158,88.60248191,27,157.8858149,180.1450829,104.4979129
PA14_40730,PA14 ref,3636128..3637168,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380261,11,32.42203511,37.38243586,49.23104833,16,45.27771322,51.6881488,68.93665857,12,28.09766837,31.19019437,41.64102434,12,28.84815741,31.70654574,43.79536579,20,47.76338413,53.08174844,72.88989789,16,33.49993395,36.27035982,53.72908165,19,38.79333257,42.13329981,54.92117156,11,22.1523102,24.32716772,34.27321072,10,20.18624166,22.08771818,31.35358612,13,26.8707486,29.36725562,41.06046847,8,15.96796472,17.80204863,27.2825239,3,6.10786707,7.207622125,13.29037229,12,24.46901518,27.91873844,46.44351683
PA14_40740,PA14 ref,3637233..3637460,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380260,21,282.6069017,325.8442705,93.98654681,24,310.0927596,353.9958085,103.4049879,43,459.6988045,510.2948358,149.2136706,50,548.8108893,603.18922,182.4806908,34,370.731846,412.0121501,123.9128264,27,258.1092773,279.4547707,90.66782529,22,205.088851,222.7462678,63.59293549,37,340.2075487,373.6082612,115.2826179,19,175.1156464,191.6109552,59.57181362,23,217.0601665,237.2267885,72.64544421,56,510.3445566,568.9628438,190.9776673,46,427.6042727,504.5967735,203.7857084,63,586.5319528,669.2231809,243.8284634
PA14_40750,PA14 ref,complement(3637485..3637640),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380259,9,177.0175099,204.1002573,40.27994863,8,151.0708316,172.4594965,34.46832929,16,249.9972032,277.5127551,55.52136579,31,497.3070981,546.5822316,113.1380283,23,366.5380469,407.3513792,83.82338257,20,279.4345452,302.5436264,67.16135207,12,163.4974057,177.5739478,34.68705572,5,67.19275909,73.78957343,15.57873215,17,228.9973837,250.5681722,53.3010964,9,124.1380886,135.6715078,28.42647817,19,253.0692101,282.1367948,64.79599425,26,353.2383122,416.8408129,115.1832265,26,353.7811779,403.6584266,100.6276198
cysI,PA14 ref,3637871..3639529,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380258,43,79.52805948,91.69543407,192.4486435,25,44.39242339,50.67751931,107.713529,61,89.62377129,99.48807177,211.6752071,50,75.42428134,82.89761432,182.4806908,50,74.92718939,83.27019308,182.2247447,88,115.6141482,125.1753738,295.5099491,95,121.7114503,132.190371,274.6058578,91,114.9931776,126.2829155,283.5329251,84,106.3993801,116.4218462,263.3701234,149,193.2533474,211.2081259,470.6161386,142,177.849343,198.2771574,484.2647991,84,107.312905,126.6351837,372.130424,71,90.84435308,103.6518925,274.7908079
PA14_40780,PA14 ref,3639513..3640010,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380257,4,24.64500807,28.41556461,17.90219939,6,35.49254477,40.51759254,25.85124696,15,73.41785334,81.49847475,52.05128043,10,50.25256335,55.231784,36.49613816,10,49.92136835,55.48002021,36.44494894,17,74.40365601,80.55679691,57.08714926,14,59.75206393,64.896503,40.46823168,16,67.35466936,73.96737963,49.85194287,14,59.07515781,64.63984031,43.89502057,24,103.6976804,113.3320226,75.80394179,40,166.8940891,186.0635806,136.4126195,15,63.8382492,75.33267703,66.45186143,14,59.67393361,68.08696352,54.18410297
PA14_40790,PA14 ref,complement(3640075..3640656),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380256,4,21.08799659,24.3143491,17.90219939,7,35.43156102,40.44797469,30.15978813,1,4.188097476,4.649053886,3.470085362,9,38.69965446,42.53416768,32.84652434,11,46.98784465,52.21985407,40.08944384,5,18.7249953,20.27354197,16.79033802,5,18.26001954,19.83214193,14.45293988,5,18.01043027,19.77864855,15.57873215,2,7.221263768,7.901482689,6.270717224,1,3.697125203,4.040617644,3.158497574,3,10.71047118,11.94067824,10.23094646,2,7.28326417,8.594655936,8.860248191,5,18.23614319,20.80713539,19.35146535
PA14_40800,PA14 ref,3640779..3641216,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380255,10,70.05259142,80.77026926,44.75549848,7,47.08029341,53.74593897,30.15978813,3,16.6950187,18.53252988,10.41025609,4,22.85459046,25.11911272,14.59845526,6,34.05594718,37.84801379,21.86696937,2,9.952463254,10.77552642,6.716135207,2,9.705325453,10.54091927,5.781175954,1,4.786333525,5.256243587,3.115746429,5,23.98844471,26.24807606,15.67679306,3,14.73785526,16.10711965,9.475492723,3,14.23172198,15.86638067,10.23094646,3,14.51664297,17.13044437,13.29037229,4,19.38527002,22.11826995,15.48117228
PA14_40820,PA14 ref,3641311..3642186,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380254,25,87.56573928,100.9628366,111.8887462,41,137.8780021,157.3988213,176.6501876,30,83.47509352,92.66264938,104.1025609,32,91.41836183,100.4764509,116.7876421,22,62.43590316,69.38802528,80.17888768,30,74.6434744,80.81644815,100.7420281,31,75.21627226,81.69212438,89.60822729,30,71.79500287,78.8436538,93.47239288,25,59.97111177,65.62019014,78.3839653,41,100.7086776,110.0653176,129.4984005,17,40.32321227,44.95474524,57.97536328,15,36.29160742,42.82611092,66.45186143,14,33.92422253,38.70697241,54.18410297
PA14_40830,PA14 ref,complement(3642173..3643165),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380253,56,173.03625,199.5098856,250.6307915,71,210.6319903,240.4533463,305.9064224,83,203.7363914,226.1603193,288.017085,77,194.0568776,213.2847925,281.0202638,78,195.281534,217.0257709,284.2706018,42,92.18807352,99.81197584,141.0388393,63,134.8483135,146.4582711,182.1070425,50,105.5596215,115.9231969,155.7873215,55,116.3910641,127.3547134,172.4447236,55,119.1792324,130.2519343,173.7173666,39,81.60667165,90.98003178,133.002304,28,59.76237307,70.52291699,124.0434747,46,98.33192859,112.1950914,178.0334812
PA14_40840,PA14 ref,complement(3643224..3644249),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380252,56,167.4707566,193.092901,250.6307915,38,109.1067117,124.5540808,163.7245641,64,152.0450826,168.7796873,222.0854632,65,158.545368,174.2546635,237.224898,58,140.5388697,156.1876125,211.3807039,47,99.844741,108.1018455,157.8291774,46,95.29380956,103.4982659,132.9670469,49,100.1211405,109.9507796,152.671575,41,83.97358481,91.88361595,128.5497031,52,109.0543832,119.1864058,164.2418739,48,97.20848697,108.373875,163.6951434,35,72.30023934,85.31829504,155.0543433,52,107.5825804,122.7499309,201.2552396
PA14_40850,PA14 ref,3644484..3645194,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4380251,26,112.2023785,129.3687519,116.3642961,38,157.4451283,179.7362685,163.7245641,49,167.9833528,186.4721782,170.0341827,61,214.7077876,235.9818754,222.6264428,40,139.8640869,155.4376938,145.7797958,42,128.7521196,139.3998481,141.0388393,66,197.3006668,214.2875488,190.7788065,44,129.7358927,142.4730329,137.0928429,63,186.1989151,203.7382309,197.5275925,56,169.4749714,185.2205489,176.8758642,22,64.29295499,71.67765784,75.02694071,25,74.52285068,87.94109977,110.7531024,23,68.66638895,78.34720516,89.0167406
PA14_40860,PA14 ref,3645255..3645569,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381052,321,3126.747381,3605.123275,1436.651501,417,3899.78561,4451.918716,1796.661664,581,4495.783037,4990.604379,2016.119595,596,4735.035817,5204.201697,2175.169834,549,4332.889508,4815.348726,2000.827697,555,3840.229035,4157.813837,1863.72752,512,3454.726135,3752.165703,1479.981044,534,3553.921018,3902.835952,1663.808593,604,4029.327635,4408.876836,1893.756602,636,4344.43901,4748.072071,2008.804457,160,1055.40643,1176.630643,545.6504779,207,1392.768202,1643.543777,917.0356878,300,2021.606731,2306.61958,1161.087921
PA14_40880,PA14 ref,3645827..3646897,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381051,24,68.7575015,79.27703739,107.4131964,24,66.0141449,75.36045224,103.4049879,33,75.10420179,83.37042852,114.5128169,27,63.09019298,69.34141621,98.53957302,29,67.31693761,74.81255386,105.6903519,22,44.77214562,48.47477711,73.87748728,20,39.69124695,43.1085214,57.81175954,11,21.53179731,23.64573445,34.27321072,14,27.469121,30.05662043,43.89502057,10,20.09082043,21.95741801,31.58497574,19,36.86162163,41.09555555,64.79599425,11,21.76818731,25.68766914,48.73136505,7,13.87377168,15.82974222,27.09205149
PA14_40890,PA14 ref,3646922..3647689,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381050,33,131.8411662,152.0121708,147.693145,50,191.7891417,218.9427201,215.427058,41,130.1254973,144.4475571,142.2734998,36,117.3083276,128.9316958,131.3860974,30,97.11266188,107.9259768,109.3348468,20,56.76014199,61.45417411,67.16135207,19,52.58315001,57.11037123,54.92117156,19,51.86441093,56.95632699,59.19918215,24,65.66836739,71.8541082,75.24860668,25,70.04319233,76.55076397,78.96243936,25,67.63774118,75.4066269,85.25788717,11,30.35641746,35.82225736,48.73136505,13,35.93090088,40.99655895,50.3138099
PA14_40900,PA14 ref,complement(3647850..3648611),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381049,3,12.07993506,13.92810155,13.42664954,4,15.46394339,17.65333428,17.23416464,4,12.79513245,14.20340872,13.88034145,5,16.42111322,18.04818138,18.24806908,1,3.262577617,3.625859589,3.644494895,2,5.720707225,6.193806525,6.716135207,4,11.15730328,12.1179072,11.56235191,1,2.751199585,3.021305369,3.115746429,0,0,0,0,1,2.823788541,3.086141036,3.158497574,1,2.726812873,3.040015195,3.410315487,1,2.781404033,3.282211125,4.430124096,1,2.785678566,3.178412808,3.87029307
PA14_40910,PA14 ref,3648743..3649648,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381048,8,27.09318768,31.23830281,35.80439879,7,22.76067165,25.98313606,30.15978813,8,21.52293802,23.89182659,27.7606829,5,13.81113496,15.17959626,18.24806908,6,16.4641334,18.29738415,21.86696937,5,12.02863936,13.02340114,16.79033802,9,21.11390339,22.93173498,26.01529179,11,25.45315113,27.95207682,34.27321072,8,18.55530028,20.30314757,25.08286889,3,7.124923405,7.786885659,9.475492723,4,9.173648605,10.22733589,13.64126195,4,9.357306284,11.04214074,17.72049638,3,7.028765123,8.019703839,11.61087921
PA14_40930,PA14 ref,complement(3649645..3650289),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381047,2,9.514119393,10.96972959,8.951099697,2,9.134515399,10.42778351,8.617082322,5,18.89513745,20.97480125,17.35042681,6,23.27979214,25.58644505,21.89768289,3,11.56318207,12.85072096,10.93348468,5,16.89604227,18.29333555,16.79033802,0,0,0,0,3,9.75076318,10.70806833,9.347239288,4,13.03186206,14.25941992,12.54143445,2,6.672021297,7.29190533,6.316995149,4,12.88577618,14.36583925,13.64126195,1,3.285937788,3.877588957,4.430124096,0,0,0,0
PA14_40940,PA14 ref,3650390..3651169,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381046,7,27.53605709,31.74892892,31.32884894,4,15.10708316,17.24594965,17.23416464,8,24.99972032,27.75127551,27.7606829,6,19.25059735,21.15802187,21.89768289,5,15.93643682,17.71092953,18.22247447,10,27.94345452,30.25436264,33.58067603,8,21.79965409,23.67652637,23.12470382,10,26.87710364,29.51582937,31.15746429,13,35.02312927,38.32219104,40.75966195,8,22.06899352,24.11937917,25.2679806,6,15.98331853,17.81916599,20.46189292,3,8.151653359,9.619403375,13.29037229,7,19.04975573,21.73545374,27.09205149
nudC,PA14 ref,complement(3651137..3651973),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381045,13,47.65584893,54.94694303,58.18214803,13,45.75442749,52.23235646,56.01103509,22,64.0673836,71.11886017,76.34187796,15,44.84906192,49.29288249,54.74420723,15,44.55347928,49.51442664,54.66742342,17,44.26884193,47.92985049,57.08714926,24,60.94526951,66.19243932,69.37411145,22,55.10287914,60.51273978,68.54642144,24,60.25484606,65.93065126,75.24860668,23,59.12750057,64.62091731,72.64544421,9,22.34227321,24.9085116,30.69283938,8,20.25739425,23.90484949,35.44099277,13,32.96885528,37.6169143,50.3138099
PA14_40960,PA14 ref,complement(3651973..3653661),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381044,50,90.83195691,104.7287683,223.7774924,46,80.23122318,91.59038978,198.1928934,54,77.9298564,86.50708439,187.3846095,40,59.26767685,65.14015022,145.9845526,52,76.54018679,85.06279475,189.5137345,41,52.90892099,57.28445928,137.6807717,55,69.21293374,75.17191987,158.9823387,49,60.81959153,66.79070447,152.671575,40,49.76643591,54.45426791,125.4143445,58,73.88996943,80.75493736,183.1928593,31,38.13663332,42.51701535,105.7197801,28,35.13560477,41.46196363,124.0434747,28,35.18960206,40.15074936,108.3682059
PA14_40980,PA14 ref,complement(3653701..3654513),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381043,31,116.9955826,134.895291,138.7420453,38,137.691865,157.1863307,163.7245641,54,161.8985578,179.7176698,187.3846095,62,190.8484805,209.7584948,226.2760566,67,204.8802431,227.6932785,244.1811579,40,107.2368734,116.1053031,134.3227041,70,183.0044763,198.7605074,202.3411584,49,126.3521403,138.7570724,152.671575,57,147.3297689,161.2077409,178.7154409,62,164.0923319,179.3378193,195.8268496,39,99.67456943,111.1232123,133.002304,22,57.3523459,67.67895117,97.4627301,29,75.71700485,86.39184037,112.238499
nhaB,PA14 ref,3654737..3656239,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381042,11,22.4559804,25.89162723,49.23104833,14,27.44001133,31.3249784,60.31957625,17,27.56955185,30.60395153,58.99145115,13,21.64571491,23.79045706,47.4449796,17,28.11938154,31.25042256,61.95641321,25,36.25398291,39.2521671,83.95169009,16,22.62638748,24.57443855,46.24940763,18,25.10675549,27.57167294,56.08343573,16,22.37006261,24.47724777,50.16573779,15,21.47432004,23.46945578,47.37746362,16,22.11929644,24.65992366,54.56504779,21,29.61279264,34.94473881,93.03260601,16,22.59680178,25.78257415,61.92468911
PA14_41010,PA14 ref,complement(3656223..3657578),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381041,31,70.14558159,80.87748643,138.7420453,40,86.89915092,99.20236523,172.3416464,63,113.2454145,125.7095942,218.6153778,36,66.44011473,73.02326132,131.3860974,36,66.00223391,73.35146035,131.2018162,37,59.47257356,64.39092225,124.2485013,53,83.07500924,90.22747052,153.2011628,41,63.3871515,69.61034095,127.7456036,41,63.53753541,69.52255897,128.5497031,33,52.36503441,57.23016407,104.23042,28,42.90507334,47.83315944,95.48883364,17,26.57102349,31.35528239,75.31210963,27,42.26589293,48.22467928,104.4979129
PA14_41020,PA14 ref,complement(3657602..3659857),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381040,32,43.52203552,50.18067792,143.2175951,60,78.34790469,89.44043035,258.5124696,93,100.4809237,111.5401998,322.7179387,94,104.274069,114.6059518,343.0636987,104,114.6067159,127.3679613,379.027469,41,39.61133314,42.88716832,137.6807717,50,47.1069653,51.16270659,144.5293988,47,43.67529341,47.96322273,146.4400822,45,41.91597919,45.86432439,141.0911375,40,38.15118561,41.69573527,126.339903,27,24.86766314,27.72396836,92.07851815,25,23.48658991,27.71547958,110.7531024,23,21.64086992,24.69187184,89.0167406
PA14_41030,PA14 ref,3660051..3660440,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381039,16,125.8791181,145.1379608,71.60879757,10,75.5354158,86.22974824,43.08541161,18,112.4987414,124.8807398,62.46153652,27,173.2553761,190.4221968,98.53957302,20,127.4914946,141.6874362,72.88989789,12,67.06429085,72.61047033,40.29681124,19,103.5483569,112.4635003,54.92117156,19,102.1329938,112.1601516,59.19918215,14,75.43443228,82.54010378,43.89502057,13,71.72422895,78.3879823,41.06046847,13,69.26104696,77.21638595,44.33410133,10,54.34435573,64.12935583,44.30124096,7,38.09951146,43.47090748,27.09205149
dnaQ,PA14 ref,complement(3660468..3661208),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381038,19,78.67444883,90.71122548,85.03544712,20,79.510964,90.76815604,86.17082322,28,92.10423274,102.2415413,97.16239014,38,128.3373156,141.0534791,138.685325,29,97.29614059,108.1298855,105.6903519,20,58.8283253,63.69339503,67.16135207,24,68.84101293,74.76797801,69.37411145,33,93.36257053,102.5286704,102.8196322,36,102.0917129,111.7084111,112.87291,37,107.4411527,117.4232933,116.8644103,24,67.29818328,75.02806732,81.84757169,13,37.18298023,43.87798031,57.59161324,23,65.8863732,75.17525353,89.0167406
rnhA,PA14 ref,complement(3661273..3661719),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381037,11,75.50635022,87.05842445,49.23104833,11,72.4937212,82.75740938,47.39395277,25,136.3239782,151.3282641,86.75213405,13,72.78190048,79.99341602,47.4449796,22,122.3576089,135.9819019,80.17888768,17,82.89266374,89.74784085,57.08714926,14,66.56941351,72.300802,40.46823168,17,79.72939468,87.55702404,52.9676893,23,108.1250971,118.31012,72.11324807,18,86.64671953,94.69689137,56.85295634,17,79.02267103,88.09923229,57.97536328,10,47.41453855,55.95178697,44.30124096,16,75.97985028,86.69174262,61.92468911
PA14_41070,PA14 ref,complement(3661722..3662483),https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381036,25,100.6661255,116.0675129,111.8887462,24,92.78366035,105.9200057,103.4049879,35,111.9574089,124.2798263,121.4529877,40,131.3689058,144.3854511,145.9845526,35,114.1902166,126.9050856,127.5573213,29,82.95025476,89.81019461,97.3839605,30,83.67977457,90.88430398,86.71763931,21,57.77519128,63.44741274,65.43067501,20,55.15453429,60.34990715,62.70717224,38,107.3039646,117.2733593,120.0229078,24,65.44350894,72.96036468,81.84757169,12,33.3768484,39.3865335,53.16148915,19,52.92789275,60.38984335,73.53556832
PA14_41080,PA14 ref,3662879..3663361,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381035,4,25.41038099,29.29803556,17.90219939,9,54.89219657,62.66385431,38.77687045,12,60.55832871,67.22358663,41.64102434,10,51.81320197,56.94705679,36.49613816,6,30.88303284,34.32180132,21.86696937,12,54.15129075,58.62957232,40.29681124,13,57.2071668,62.13249933,37.5776437,13,56.42522379,61.96490886,40.50470358,10,43.50699289,47.60520626,31.35358612,17,75.73365789,82.7699192,53.69445876,12,51.62314059,57.5525858,40.92378584,10,43.88053568,51.78146744,44.30124096,10,43.9479724,50.14390392,38.7029307
mltD,PA14 ref,3663439..3665043,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene&cmd=Retrieve&dopt=full_report&list_uids=4381034,45,86.02720106,99.1889101,201.3997432,45,82.59480045,94.28860321,193.8843522,42,63.78433314,70.8046562,145.7435852,29,45.21791402,49.6982819,105.8388007,24,37.17509,41.31446739,87.46787747,67,90.98597715,98.51046676,224.9905294,94,124.4821369,135.1996039,271.7152698,77,100.5756289,110.4498886,239.912475,81,106.0513447,116.0410271,253.9640476,96,128.7014202,140.6588094,303.2157671,44,56.96235638,63.50506508,150.0538814,38,50.17964809,59.21476968,168.3447156,46,60.83713713,69.41415934,178.0334812
